"exp_index","subject","trial","condition","scenario","box_weight","s1","s2","e1","e2","b1","b2","contestant","strength","effort","bonus"
"1a",1,13,"fail",1,5,5,5,20,60,2,8,1,5,20,2
"1a",1,13,"fail",1,5,5,5,20,60,2,8,2,5,60,8
"1a",1,28,"fail",2,7,6,6,30,80,3,7,1,6,30,3
"1a",1,28,"fail",2,7,6,6,30,80,3,7,2,6,80,7
"1a",1,31,"fail",3,5,4,4,30,60,3,6,1,4,30,3
"1a",1,31,"fail",3,5,4,4,30,60,3,6,2,4,60,6
"1a",1,4,"fail",4,6,5,5,20,70,2,7,1,5,20,2
"1a",1,4,"fail",4,6,5,5,20,70,2,7,2,5,70,7
"1a",1,19,"fail",5,8,8,8,20,40,6,8,1,8,20,6
"1a",1,19,"fail",5,8,8,8,20,40,6,8,2,8,40,8
"1a",1,29,"fail",6,6,4,8,40,40,6,5,1,4,40,6
"1a",1,29,"fail",6,6,4,8,40,40,6,5,2,8,40,5
"1a",1,21,"fail",7,7,4,6,60,60,5,5,1,4,60,5
"1a",1,21,"fail",7,7,4,6,60,60,5,5,2,6,60,5
"1a",1,10,"fail",8,6,2,8,50,50,5,3,1,2,50,5
"1a",1,10,"fail",8,6,2,8,50,50,5,3,2,8,50,3
"1a",1,26,"fail",9,9,5,7,70,70,6,6,1,5,70,6
"1a",1,26,"fail",9,9,5,7,70,70,6,6,2,7,70,6
"1a",1,32,"fail",10,8,6,8,30,30,6,4,1,6,30,6
"1a",1,32,"fail",10,8,6,8,30,30,6,4,2,8,30,4
"1a",1,18,"fail",11,3,2,6,60,20,6,3,1,2,60,6
"1a",1,18,"fail",11,3,2,6,60,20,6,3,2,6,20,3
"1a",1,22,"fail",12,5,3,6,80,40,9,4,1,3,80,9
"1a",1,22,"fail",12,5,3,6,80,40,9,4,2,6,40,4
"1a",1,5,"fail",13,5,4,6,30,20,4,3,1,4,30,4
"1a",1,5,"fail",13,5,4,6,30,20,4,3,2,6,20,3
"1a",1,25,"fail",14,9,5,8,80,50,6,4,1,5,80,6
"1a",1,25,"fail",14,9,5,8,80,50,6,4,2,8,50,4
"1a",1,12,"fail",15,8,6,8,40,30,5,5,1,6,40,5
"1a",1,12,"fail",15,8,6,8,40,30,5,5,2,8,30,5
"1a",1,6,"lift",16,4,5,5,20,60,4,8,1,5,20,4
"1a",1,6,"lift",16,4,5,5,20,60,4,8,2,5,60,8
"1a",1,3,"lift",17,5,6,6,30,80,3,8,1,6,30,3
"1a",1,3,"lift",17,5,6,6,30,80,3,8,2,6,80,8
"1a",1,17,"lift",18,3,4,4,30,60,4,6,1,4,30,4
"1a",1,17,"lift",18,3,4,4,30,60,4,6,2,4,60,6
"1a",1,9,"lift",19,4,5,5,20,70,2,8,1,5,20,2
"1a",1,9,"lift",19,4,5,5,20,70,2,8,2,5,70,8
"1a",1,30,"lift",20,4,8,8,20,40,1,3,1,8,20,1
"1a",1,30,"lift",20,4,8,8,20,40,1,3,2,8,40,3
"1a",1,16,"lift",21,4,4,8,40,40,6,6,1,4,40,6
"1a",1,16,"lift",21,4,4,8,40,40,6,6,2,8,40,6
"1a",1,14,"lift",22,5,4,6,60,60,7,6,1,4,60,7
"1a",1,14,"lift",22,5,4,6,60,60,7,6,2,6,60,6
"1a",1,1,"lift",23,5,2,8,50,50,5,6,1,2,50,5
"1a",1,1,"lift",23,5,2,8,50,50,5,6,2,8,50,6
"1a",1,24,"lift",24,6,5,7,70,70,8,8,1,5,70,8
"1a",1,24,"lift",24,6,5,7,70,70,8,8,2,7,70,8
"1a",1,15,"lift",25,3,6,8,30,30,6,6,1,6,30,6
"1a",1,15,"lift",25,3,6,8,30,30,6,6,2,8,30,6
"1a",1,2,"lift",26,2,2,6,60,20,8,4,1,2,60,8
"1a",1,2,"lift",26,2,2,6,60,20,8,4,2,6,20,4
"1a",1,8,"lift",27,3,3,6,80,40,8,4,1,3,80,8
"1a",1,8,"lift",27,3,3,6,80,40,8,4,2,6,40,4
"1a",1,20,"lift",28,2,4,6,30,20,5,3,1,4,30,5
"1a",1,20,"lift",28,2,4,6,30,20,5,3,2,6,20,3
"1a",1,7,"lift",29,6,5,8,80,50,9,6,1,5,80,9
"1a",1,7,"lift",29,6,5,8,80,50,9,6,2,8,50,6
"1a",1,27,"lift",30,4,6,8,40,30,4,3,1,6,40,4
"1a",1,27,"lift",30,4,6,8,40,30,4,3,2,8,30,3
"1a",2,12,"fail",1,5,5,5,20,60,0,0,1,5,20,0
"1a",2,12,"fail",1,5,5,5,20,60,0,0,2,5,60,0
"1a",2,13,"fail",2,7,6,6,30,80,0,0,1,6,30,0
"1a",2,13,"fail",2,7,6,6,30,80,0,0,2,6,80,0
"1a",2,4,"fail",3,5,4,4,30,60,0,0,1,4,30,0
"1a",2,4,"fail",3,5,4,4,30,60,0,0,2,4,60,0
"1a",2,22,"fail",4,6,5,5,20,70,0,0,1,5,20,0
"1a",2,22,"fail",4,6,5,5,20,70,0,0,2,5,70,0
"1a",2,26,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",2,26,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",2,30,"fail",6,6,4,8,40,40,0,0,1,4,40,0
"1a",2,30,"fail",6,6,4,8,40,40,0,0,2,8,40,0
"1a",2,19,"fail",7,7,4,6,60,60,0,0,1,4,60,0
"1a",2,19,"fail",7,7,4,6,60,60,0,0,2,6,60,0
"1a",2,20,"fail",8,6,2,8,50,50,0,0,1,2,50,0
"1a",2,20,"fail",8,6,2,8,50,50,0,0,2,8,50,0
"1a",2,29,"fail",9,9,5,7,70,70,5,5,1,5,70,5
"1a",2,29,"fail",9,9,5,7,70,70,5,5,2,7,70,5
